Date,Meal Order,Number of Orders,Total Amount
4/22/2024 12:53,Javaling,1,45
4/22/2024 16:13,Javagets,2,90
4/22/2024 10:26,Adobo w/ Rice,1,70
4/22/2024 11:46,Javamai,1,45
4/22/2024 16:26,Javalong,2,90
4/22/2024 12:40,Sinigang w/ Rice,1,70
4/22/2024 14:53,Chicken Afritada w/ Rice,2,140
4/22/2024 14:26,Adobo w/ Rice,1,70
4/22/2024 15:20,Javagets,1,45
4/22/2024 16:53,Adobo w/ Rice,1,70
4/22/2024 15:06,Adobo w/ Rice,2,140
4/22/2024 14:40,Javagets,2,90
4/22/2024 13:46,Javaling,1,45
4/22/2024 14:00,Javadog,1,45
4/22/2024 8:26,Javadog,1,45
4/22/2024 17:20,Javadog,2,90
4/22/2024 8:13,Javalog,1,45
4/22/2024 17:46,Barbecue Chicken,1,70
4/22/2024 12:00,Javalong,1,45
4/22/2024 11:33,Javaling,1,45
4/22/2024 9:06,Barbecue Chicken,1,70
4/22/2024 10:13,Javalong,2,90
4/22/2024 18:00,Chicken Afritada w/ Rice,1,70
4/22/2024 11:20,Javalong,1,45
4/22/2024 8:00,Javaling,1,45
4/22/2024 13:33,Javamai,1,45
4/22/2024 15:33,Sinigang w/ Rice,1,70
4/22/2024 13:06,Menudo w/ Rice,1,70
4/22/2024 8:53,Adobo w/ Rice,1,70
4/22/2024 8:40,Javamai,1,45
4/22/2024 10:53,Java Rice,2,60
4/22/2024 16:00,Javaling,1,45
4/22/2024 14:13,Javamai,2,90
4/22/2024 9:20,Javaling,2,90
4/22/2024 10:40,Adobo w/ Rice,2,140
4/22/2024 15:46,Javagets,1,45
4/22/2024 13:20,Sinigang w/ Rice,1,70
4/22/2024 11:06,Sinigang w/ Rice,1,70
4/22/2024 17:06,Javagets,2,90
4/22/2024 9:33,Adobo w/ Rice,1,70
4/22/2024 9:46,Javamai,1,45
4/22/2024 10:00,Javamai,1,45
4/22/2024 17:33,Sinigang w/ Rice,1,70
4/22/2024 12:26,Java Rice,1,30
4/22/2024 16:40,Javalong,1,45
4/22/2024 12:13,Javadog,1,45
4/23/2024 8:38,Javalong,1,45
4/23/2024 13:29,Sinigang w/ Rice,1,70
4/23/2024 11:32,Javalog,2,90
4/23/2024 16:23,Javalong,2,90
4/23/2024 14:27,Javalong,2,90
4/23/2024 13:09,Menudo w/ Rice,2,140
4/23/2024 17:01,Adobo w/ Rice,2,140
4/23/2024 9:36,Javaling,1,45
4/23/2024 17:21,Sinigang w/ Rice,2,140
4/23/2024 15:44,Javaling,1,45
4/23/2024 10:15,Barbecue Chicken,1,70
4/23/2024 16:03,Javaling,1,45
4/23/2024 16:42,Barbecue Chicken,2,140
4/23/2024 8:58,Menudo w/ Rice,1,70
4/23/2024 10:54,Javaling,1,45
4/23/2024 10:34,Javagets,2,90
4/23/2024 12:30,Java Rice,1,30
4/23/2024 13:48,Javadog,2,90
4/23/2024 11:13,Javalong,1,45
4/23/2024 9:17,Javadog,1,45
4/23/2024 18:00,Javalong,2,90
4/23/2024 14:07,Java Rice,1,30
4/23/2024 8:00,Javadog,2,90
4/23/2024 9:56,Menudo w/ Rice,1,70
4/23/2024 12:50,Javalong,2,90
4/23/2024 14:46,Chicken Afritada w/ Rice,1,70
4/23/2024 8:19,Sinigang w/ Rice,2,140
4/23/2024 12:11,Javalog,1,45
4/23/2024 11:52,Javaling,1,45
4/23/2024 15:05,Adobo w/ Rice,1,70
4/23/2024 17:40,Sinigang w/ Rice,2,140
4/23/2024 15:25,Chicken Afritada w/ Rice,1,70
