Date,Meal Order,Number of Orders,Total Amount
4/22/2024 8:30,"Meal D, Meal D, Meal C",2,60
4/22/2024 8:40,"Meal A, Meal B",1,20
4/22/2024 9:10,Meal D,3,90
4/22/2024 9:50,Meal B,2,40
4/22/2024 10:00,"Meal A, Meal B",1,30
4/22/2024 12:20,Meal B,5,100
4/22/2024 14:20,"Meal D, Meal D, Meal C",4,80
4/22/2024 16:10,Meal C,1,25
4/22/2024 16:50,"Meal A, Meal B",1,20
4/22/2024 17:00,"Meal A, Meal B",2,60
4/22/2024 17:50,"Meal D, Meal D, Meal C",3,75
4/23/2024 8:10,Meal A,4,80
4/23/2024 8:30,"Meal A, Meal B",1,30
4/23/2024 9:20,Meal A,4,80
4/23/2024 9:30,"Meal D, Meal D, Meal C",1,20
4/23/2024 10:00,Meal D,1,30
4/23/2024 10:30,"Meal A, Meal B",5,150
4/23/2024 11:30,Meal B,3,60
4/23/2024 13:00,"Meal D, Meal D, Meal C",3,90
4/23/2024 13:30,"Meal A, Meal B",5,125
4/23/2024 13:50,Meal D,1,30
4/23/2024 14:00,"Meal A, Meal B",5,150
4/23/2024 14:10,"Meal A, Meal B",4,80
4/23/2024 16:30,Meal A,5,100
4/23/2024 16:40,Meal C,3,75
4/24/2024 9:50,"Meal D, Meal D, Meal C",2,40
4/24/2024 10:00,Meal C,3,75
4/24/2024 10:10,Meal B,4,80
4/24/2024 10:20,Meal A,1,20
4/24/2024 11:20,Meal A,2,40
4/24/2024 11:40,"Meal A, Meal B",2,40
4/24/2024 12:40,Meal D,1,30
4/24/2024 13:10,Meal B,2,40
4/24/2024 14:30,"Meal A, Meal D",1,25
4/24/2024 15:40,Meal C,1,25
4/24/2024 16:00,Meal A,3,60
4/24/2024 16:10,"Meal A, Meal B",5,100
4/24/2024 16:20,Meal A,5,100
4/24/2024 16:40,Meal B,1,20
4/25/2024 8:00,Meal C,1,25
4/25/2024 8:50,"Meal D, Meal D, Meal C",5,100
4/25/2024 9:00,Meal C,4,100
4/25/2024 9:10,Meal D,5,150
4/25/2024 9:40,Meal D,5,150
4/25/2024 10:10,Meal B,4,80
4/25/2024 13:00,"Meal D, Meal D, Meal C",3,60
4/25/2024 14:20,Meal B,2,40
4/25/2024 14:30,"Meal A, Meal B",5,125
4/25/2024 14:40,Meal B,4,80
4/25/2024 14:50,"Meal D, Meal D, Meal C",4,120
4/25/2024 15:40,Meal A,5,100
4/25/2024 16:20,Meal C,4,100
4/25/2024 16:40,Meal B,3,60
4/25/2024 17:00,Meal C,5,125
4/26/2024 8:00,Meal B,2,40
4/26/2024 8:20,Meal A,2,40
4/26/2024 8:30,Meal D,3,90
4/26/2024 9:10,"Meal A, Meal B",5,150
4/26/2024 9:30,"Meal A, Meal D",4,80
4/26/2024 9:40,Meal B,1,20
4/26/2024 10:20,Meal C,5,125
4/26/2024 10:30,"Meal A, Meal B",2,40
4/26/2024 10:40,Meal C,4,100
4/26/2024 11:00,Meal A,3,60
4/26/2024 11:50,"Meal A, Meal D",5,150
4/26/2024 12:30,Meal B,2,40
4/26/2024 12:50,Meal A,5,100
4/26/2024 13:10,"Meal A, Meal B",5,150
4/26/2024 13:20,Meal A,1,20
4/26/2024 13:50,Meal B,5,100
4/26/2024 14:00,"Meal A, Meal B",4,80
4/26/2024 14:10,Meal A,3,60
4/26/2024 14:40,"Meal A, Meal D",5,150
4/26/2024 14:50,Meal C,2,50
4/26/2024 15:20,Meal B,5,100
4/26/2024 15:40,"Meal A, Meal D",5,125
4/26/2024 16:30,Meal B,3,60
4/27/2024 9:10,Meal A,3,60
4/27/2024 9:20,Meal D,3,90
4/27/2024 9:30,Meal A,1,20
4/27/2024 9:40,Meal D,4,120
4/27/2024 10:10,"Meal A, Meal D",5,125
4/27/2024 11:30,Meal A,5,100
4/27/2024 11:50,"Meal A, Meal B",1,20
4/27/2024 12:00,Meal D,1,30
4/27/2024 12:20,Meal C,1,25
4/27/2024 13:40,"Meal A, Meal D",5,125
4/27/2024 13:50,Meal B,5,100
4/27/2024 14:20,"Meal A, Meal B",1,20
4/27/2024 14:30,Meal B,3,60
4/27/2024 14:40,Meal B,1,20
4/27/2024 14:50,Meal A,2,40
4/28/2024 8:00,Meal C,5,125
4/28/2024 8:50,"Meal A, Meal D",3,90
4/28/2024 9:00,"Meal A, Meal B",5,100
4/28/2024 9:30,Meal B,5,100
4/28/2024 10:20,"Meal A, Meal B",2,60
4/28/2024 10:40,Meal B,4,80
4/28/2024 10:50,Meal A,3,60
4/28/2024 11:30,"Meal A, Meal B",4,120
4/28/2024 12:30,Meal A,3,60
4/28/2024 12:50,"Meal A, Meal D",3,75
4/28/2024 13:30,Meal B,5,100
4/28/2024 17:30,Meal C,1,25
4/28/2024 17:50,Meal C,2,50
